OBJECTID,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,Shape__Area,Shape__Length,GlobalID
182,S12000034,Aberdeenshire, ,352284,816277,-2.79208,57.234692,6324833100.32327,561629.313650336,c8cd9675-8495-4c4e-b4a7-b455c98f5017
183,S12000035,Argyll and Bute, ,200740,715443,-5.22114,56.28944,7088548938.74316,2037905.69779507,063add42-a693-4216-9e0b-dc25569c1946
184,S12000036,City of Edinburgh, ,320193,669416,-3.27826,55.91119,263292307.255356,89188.9759265975,32b9c768-6811-4c8b-9ce7-d88b3ddde53f
185,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.848621,271395331.026596,89105.5096129212,d544122c-6821-4d57-ad8b-ae3517f37e7b
186,S12000039,West Dunbartonshire, ,242904,681586,-4.52074,56.0014,177490882.278641,71209.3586164968,f4b73db7-9ef9-40b3-a16d-1bb8c9bb70cc
187,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,426840563.414215,113825.130882408,7aaeaaf2-5d08-4845-9bb9-b5d63bb46ab1
188,S12000041,Angus, ,345518,759594,-2.89189,56.7248,2193995565.90497,245203.00930717,cafafede-108c-41b7-9d50-4841846ab7d9
189,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,60639153.7706909,38817.684939821,431e073f-4081-4d7c-ae48-84a8cb85ea70
190,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.95829,173578352.18251,83606.6273080683,5fe7fc15-18ec-4578-992d-d5fb1d2f4ca0
191,S12000047,Fife, ,339197,704726,-2.98235,56.231171,1325282490.87531,251754.629507678,a39bc8e1-3b83-4a4b-8eef-8f4032d9860f
192,S12000048,Perth and Kinross, ,284304,744186,-3.8848,56.575291,5385637143.90138,482619.752629931,db9222a4-b14f-421d-bb95-e9d485171db7
193,S12000049,Glasgow City, ,261534,667033,-4.21479,55.876492,178522607.561691,87346.6488518363,69984b46-052b-4cf1-8db8-e991323a7bfb
194,S12000050,North Lanarkshire, ,277984,665608,-3.9514,55.868141,470403040.707123,139061.786893944,52f60f8b-fda6-49bc-aa25-d5c4472a65a6
195,W06000001,Isle of Anglesey,Ynys Môn,245212,378343,-4.32306,53.279419,710126392.140472,208619.130575731,8bf0d9a8-d8e2-4350-9b1b-66f0ba193ed0
196,W06000002,Gwynedd,Gwynedd,280555,334966,-3.77715,52.89883,2554766177.68011,428598.822967744,e5d7c3ac-8ccc-4243-ac9b-d95a7364deec
197,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.147388,1136763349.22874,192087.634855832,2dcc7a8a-4105-44b4-92b7-3a2c05f06699
198,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.088329,834993112.169342,188604.662960488,4f3a7e79-5ab8-4456-99ec-6784ede536c6
199,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.18248,53.21471,436415582.725502,135300.381621256,5bc14314-3480-4f68-b101-2db025a30e6a
200,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.001671,506885367.147919,155283.77627925,0c017621-86b8-4913-a04f-3df64cb2923d
201,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.297951,1785331104.3743,261836.732633412,ce309a5b-f957-4f90-bd10-e99dd40c08c0
202,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.90818,51.855129,1635007925.09512,346360.435910429,a5c6a775-bba0-4ced-be57-df7364b5337f
203,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111,51.894951,2369376127.00636,316574.68969129,9c782115-56b5-46d8-ae9a-3f05021378c4
